#{"t_start": 1592565377.801722, "env_id": "BoxRandWorldNoFrameskip-v4"}
r,l,t
3,2412,72.195971
1,1355,112.072511
14,1715,162.259195
3,1941,219.517067
14,973,248.081392
14,1724,298.598709
1,511,313.570826
1,779,336.381936
1,2917,422.450082
14,699,443.111789
3,1393,483.87086
3,704,504.461971
1,370,515.333371
3,1269,552.663727
1,1082,584.451857
3,5002,731.648299
1,1442,773.731576
1,933,801.37635
1,1519,846.409907
1,1569,892.797037
3,1168,927.049741
3,1875,982.22014
1,3020,1070.600088
14,1172,1104.693132
1,753,1126.902285
14,3207,1223.250198
3,3784,1342.465229
1,919,1373.318802
14,863,1402.977255
14,1468,1450.843972
1,2848,1590.680007
1,1522,1667.307824
1,282,1676.374894
1,593,1694.699818
1,287,1703.569872
1,1411,1747.971589
1,2997,1841.776737
14,1795,1898.441475
3,1596,1949.104556
1,2337,2041.199317
1,850,2090.954503
1,942,2146.033626
3,1699,2208.724887
