#{"t_start": 1592565377.7966223, "env_id": "BoxRandWorldNoFrameskip-v4"}
r,l,t
3,1891,56.890268
1,2092,118.291885
3,1917,174.483078
1,1126,207.956894
14,1235,244.123091
1,720,265.256394
1,2675,343.751111
3,3819,456.22669
3,1289,494.113534
1,1587,540.563341
3,2863,624.787714
3,1024,655.043642
14,814,679.112646
1,3133,770.671759
14,768,793.410106
1,1311,832.332161
1,1238,868.952156
3,4539,1002.350745
3,1421,1043.950952
3,3128,1135.410115
1,502,1151.763867
1,4930,1302.570545
1,1056,1336.206
3,2633,1424.050002
3,1708,1480.371972
14,2399,1616.607802
14,510,1646.97969
1,1296,1689.710883
1,1665,1742.064052
1,1190,1778.395751
3,913,1806.560964
3,1432,1852.414635
1,422,1866.866504
3,314,1876.481275
14,2520,1955.957246
1,1772,2020.65197
14,1284,2095.595053
3,1926,2184.719012
