#{"t_start": 1592565377.7659984, "env_id": "BoxRandWorldNoFrameskip-v4"}
r,l,t
1,494,15.822071
14,3379,115.169146
1,947,142.753575
1,2040,202.882724
1,3198,296.82194
14,1385,337.371433
1,517,352.639676
3,1909,408.809999
1,775,431.83091
1,5002,578.66573
1,1029,608.819845
1,1451,651.841335
14,1577,698.275528
1,1814,751.337926
1,2286,818.731349
1,2887,903.898628
1,2438,975.680318
1,1181,1010.21647
1,2594,1086.137892
3,1404,1127.231564
14,460,1140.725627
1,5002,1295.04255
4,5002,1458.975118
3,1892,1547.094477
1,632,1585.135149
3,3079,1713.025647
1,488,1728.437063
1,502,1744.461909
1,1776,1798.378009
3,1318,1841.164363
1,641,1861.609957
14,1631,1912.702039
14,1100,1947.712517
1,651,1969.689784
1,219,1976.543297
1,752,2001.278321
3,1528,2086.350729
3,1338,2160.264512
